Company name,Symbol
LYXOR INTL ASSET MANAGEMENT LYXOR ETF MSCI EMERGING MARKETS,0ILW
AKER PHILADELPHIA SHIPYARD NOK10,0IM3
MARFIN INVESTMENT GROUP HLDGS SA EUR7.89,0IMY
GROUPE BRUXELLES LAMBERT(NEW) NPV,0IN2
IMS(INTERNATIONAL METAL SERVICE) NPV,0IN3
ST MICROELECTRONICS EUR1.04,0INB
DUNAV HOLDING JSC BGN1,0IND
MEINL EUROPEAN LAND EUR5(AUST CERT),0INS
BASTIDE LE CONFORT MEDICAL EUR0.45,0IP1
PAGES JAUNES EUR0.2,0IP9
GALAPAGOS NV ORD NPV,0IPC
MOBOTIX AG NPV (REG),0IPD
AKER SOLUTIONS ASA NOK2,0IPT
AUBAY TECHNOLOGY EUR0.50,0IPY
PETAR KARAMINCHEV AD BGN1,0IQC
MERCIALYS EUR1,0IQU
BULGARIAN HOLDING CO BGN1,0IR9
HYDROPNEVMOTEHNIKA JSC BGN2,0IRE
EVOTEC AG NPV,0IRF
ALTAREA NPV,0IRK
ASSYSTEM SA EUR1,0IRN
FONCIERE DES MURS(NEW) EUR4,0IS8
HKSCAN CORP NPV,0ISM
SCOR EUR7.876972,0IT3
INDUSTRIALEN KAPITAL HLDG AD BGN1,0ITS
ZENIT AGROHOLDING AD BGN1,0ITV
SAFRAN S.A. EUR0.20,0IU8
INTER PARFUMS EUR 3,0IUJ
CNP ASSURANCES EUR4,0IUQ
GRAND HOTEL VARNA BGN1,0IV3
LECTRA EUR1.5,0IVJ
SPAREBANKEN MIDT NORGE PRIMARY CAPITAL CERT NOK25,0IVM
SVINEKOMPLEKS NIKOLOVO AD BGN1,0IW3
THALES EUR3,0IW5
THOMSON SA EUR3.75,0IW7
ALTRAN TECHNOLOGIES EUR0.50,0IWK
INTERLOGIC REAL ESTATE JSC BGN1 (POST-SUBDIVISION),0IWO
FABASOFT AG NPV,0IWU
VAN DE VELDE ORD NPV,0IWV
ESKER EUR2,0IWZ
GENERALE LOCATION EUR4,0IX0
NRJ GROUP ORD NPV,0IXL
HYGEIA S.A. EUR0.41(CR),0IXR
LATECOERE EUR2,0IXT
BOLLORE SA EUR16,0IXZ
ATRIA EUR1.70,0IY1
IDEAL GROUP SA PREF SHS EUR1.50,0IYF
AF AB SER`B` NPV,0IYG
MOLOGEN HLDGS AG ORD NPV,0IYN
PIRELLI & CO SPA EUR0.52,0IYS
TRASMISSIONE ELETTRICITA RETE NAZIO ORD EUR0.22,0IYU
