Company name,Symbol
BEYOND INTERNATIONAL LIMITED,BYI
BHP BILLITON LIMITED,BHP
BIDENERGY LIMITED,BID
BIG RIVER INDUSTRIES LIMITED,BRI
BIG UN LIMITED,BIG
BIGTINCAN HOLDINGS LIMITED,BTH
BILLABONG INTERNATIONAL LIMITED,BBG
BINGO INDUSTRIES LIMITED,BIN
BIO-GENE TECHNOLOGY LTD,BGT
BIOMICS BIOPHARMA LIMITED,BBM
BIONOMICS LIMITED,BNO
BIOTRON LIMITED,BIT
BIOXYNE LIMITED,BXN
BIRIMIAN LIMITED,BGS
BIRRABONG CORPORATION LIMITED,BIR
BISALLOY STEEL GROUP LIMITED,BIS
BISAN LIMITED,BSN
BKI INVESTMENT COMPANY LIMITED,BKI
BKM MANAGEMENT LIMITED,BKM
BLACK CAT SYNDICATE LIMITED,BC8
BLACK MOUNTAIN RESOURCES LIMITED,BMZ
BLACK ROCK MINING LIMITED,BKT
BLACK STAR PETROLEUM LIMITED,BSP
BLACKEARTH MINERALS NL,BEM
BLACKHAM RESOURCES LIMITED,BLK
BLACKMORES LIMITED,BKL
BLACKSTONE MINERALS LIMITED,BSX
BLACKWALL LIMITED,BWF
BLACKWALL PROPERTY TRUST,BWR
BLAZE INTERNATIONAL LIMITED,BLZ
BLIGH RESOURCES LIMITED,BGH
BLINA MINERALS NL,BDI
BLUE ENERGY LIMITED,BUL
BLUE SKY ALTERNATIVE INVESTMENTS LIMITED,BLA
BLUE SKY ALTERNATIVES ACCESS FUND LIMITED,BAF
BLUECHIIP LIMITED,BCT
BLUESCOPE STEEL LIMITED,BSL
BLUGLASS LIMITED,BLG
BMG RESOURCES LIMITED,BMG
BOADICEA RESOURCES LIMITED,BOA
BOART LONGYEAR LIMITED,BLY
BOD AUSTRALIA LIMITED,BDA
BOJUN AGRICULTURE HOLDINGS LIMITED,BAH
BOOM LOGISTICS LIMITED,BOL
BORA BORA RESOURCES LIMITED,BBR
BORAL LIMITED.,BLD
BOSS RESOURCES LIMITED,BOE
BOTANIX PHARMACEUTICALS LTD,BOT
BOUGAINVILLE COPPER LIMITED,BOC
BOUNTY OIL & GAS NL,BUY
BOWEN COKING COAL LIMITED,BCB
BOYUAN HOLDINGS LIMITED,BHL
BP CAPITAL MARKETS PLC,BPB
BPH ENERGY LTD,BPH
BPS TECHNOLOGY LIMITED,BPS
BRAIN RESOURCE LIMITED,BRC
BRAINCHIP HOLDINGS LTD,BRN
BRAMBLES LIMITED,BXB
BRAVURA SOLUTIONS LIMITED.,BVS
BREAKER RESOURCES NL,BRB
BREVILLE GROUP LIMITED,BRG
BRICKWORKS LIMITED,BKW
BRISBANE BRONCOS LIMITED,BBL
BRISCOE GROUP AUSTRALASIA LIMITED,BGP
BROAD INVESTMENTS LIMITED,BRO
BROCKMAN MINING LIMITED,BCK
BROKEN HILL PROSPECTING LIMITED,BPL
BRONSON GROUP LIMITED,BGR
BROO LTD,BEE
BROOKSIDE ENERGY LIMITED,BRK
BRYAH RESOURCES LIMITED,BYH
BSA LIMITED,BSA
BT INVESTMENT MANAGEMENT LIMITED,BTT
BTC HEALTH LTD,BTC
BUBS AUSTRALIA LIMITED,BUB
BUDDY PLATFORM LTD,BUD
BUDERIM GROUP LIMITED,BUG
"BUILDINGIQ, INC",BIQ
BULLETIN RESOURCES LIMITED,BNR
BULLETPROOF GROUP LIMITED,BPF
BURU ENERGY LIMITED,BRU
BUXTON RESOURCES LIMITED,BUX
BUYMYPLACE.COM.AU LIMITED,BMP
BWP TRUST,BWP
BWX LIMITED,BWX
BYRON ENERGY LIMITED,BYE
BYTE POWER GROUP LIMITED,BPG
CABCHARGE AUSTRALIA LIMITED,CAB
CADENCE CAPITAL LIMITED,CDM
CAENEUS MINERALS LTD,CAD
CAISSE FRANCAISE DE FINANCEMENT LOCAL,DXA
CALIDUS RESOURCES LIMITED,CAI
CALIMA ENERGY LIMITED,CE1
CALTEX AUSTRALIA LIMITED,CTX
CANN GROUP LIMITED,CAN
CANNINDAH RESOURCES LIMITED,CAE
CANNPAL ANIMAL THERAPEUTICS LIMITED,CP1
CANYON RESOURCES LIMITED,CAY
CAPE LAMBERT RESOURCES LIMITED,CFE
CAPE RANGE LTD,CAG
CAPILANO HONEY LIMITED,CZZ
CAPITAL MINING LIMITED,CMY
CAPITOL HEALTH LIMITED,CAJ
CAPRAL LIMITED,CAA
CAPRICORN METALS LTD,CMM
CAQ HOLDINGS LIMITED,CAQ
CARAVEL MINERALS LIMITED,CVV
CARAWINE RESOURCES LIMITED,CWX
CARBINE RESOURCES LIMITED,CRB
CARBON ENERGY LIMITED,CNX
CARBON MINERALS LIMITED,CRM
CARBONXT GROUP LIMITED,CG1
CARDINAL RESOURCES LIMITED,CDV
CARDNO LIMITED,CDD
CARINDALE PROPERTY TRUST,CDP
CARLTON INVESTMENTS LIMITED,CIN
CARNARVON PETROLEUM LIMITED,CVN
CARNAVALE RESOURCES LIMITED,CAV
CARNEGIE CLEAN ENERGY LIMITED,CCE
CARPENTARIA RESOURCES LTD,CAP
CARSALES.COM LIMITED.,CAR
CASH CONVERTERS INTERNATIONAL,CCV
CASSINI RESOURCES LIMITED,CZI
CASSIUS MINING LIMITED,CMD
CASTILLO COPPER LIMITED,CCZ
CASTLE MINERALS LIMITED,CDT
CATALYST METALS LIMITED,CYL
CATAPULT GROUP INTERNATIONAL LTD,CAT
CAULDRON ENERGY LIMITED,CXU
CAZALY RESOURCES LIMITED,CAZ
CBG CAPITAL LIMITED,CBC
CBL CORPORATION LIMITED,CBL
CCP TECHNOLOGIES LIMITED,CT1
CEDAR WOODS PROPERTIES LIMITED,CWP
CELAMIN HOLDINGS NL,CNL
CELLMID LIMITED,CDY
CELLNET GROUP LIMITED,CLT
CELSIUS RESOURCES LIMITED.,CLA
CENTAURUS METALS LIMITED,CTM
CENTENNIAL MINING LIMITED,CTL
CENTRAL ASIA RESOURCES LIMITED.,CVR
CENTRAL PETROLEUM LIMITED,CTP
CENTREPOINT ALLIANCE LIMITED,CAF
